zipcode,Median Household income (Dollars),White Households,Black or African American Households,American Indian and Alaska Native Households,Asian Households,Pacific Islander Households,Other Race Households,Mixed Race Households,Hispanic or Latino origin Households,Total population,Population Under 5 years,Population 5 to 9 years,Population 10 to 14 years,Population 15 to 19 years,Population 20 to 24 years,Population 25 to 29 years,Population 30 to 34 years,Population 35 to 39 years,Population 40 to 44 years,Population 45 to 49 years,Population 50 to 54 years,Population 55 to 59 years,Population 60 to 64 years,Population 65 to 69 years,Population 70 to 74 years,Population 75 to 79 years,Population 80 to 84 years,Population 85 years and over,Total Housing Units,Vacant Housing Units,Homeowner Vacancy Rate,Rental Vacancy Rate,owned_property_avg_price,rental_property_avg_price
60601,"121,294","5,526",585,0,"2,195",0,273,673,785,"16,292",657,383,254,409,"1,650","3,085","2,254","1,828",820,784,545,726,775,"1,031",503,453,134,1,10837,1585,3.3,7.3,919214.75,4384.03
60602,"167,617",218,32,61,157,0,0,0,124,"1,127",61,62,20,72,124,191,365,0,18,40,92,21,20,22,1,0,18,0,468,0,0.0,0.0,902514.9,1972.5
60603,"124,888",339,54,0,264,0,7,10,40,"1,126",8,12,13,54,261,31,198,49,42,52,61,47,96,97,85,4,16,0,940,266,3.0,21.5,722440.0,2055.0
60604,"76,667",336,22,0,76,0,3,15,25,653,0,0,0,33,0,61,208,17,13,5,38,32,90,52,24,61,19,0,506,54,0.0,5.7,397333.33,2891.25
60605,"116,462","11,369","2,753",24,"3,204",0,431,"1,036","1,434","34,256","1,248",954,623,"2,148","2,913","6,252","5,736","3,677","1,691","1,388","1,003","1,103","1,408","1,071","1,258","1,161",316,306,20573,1756,0.0,6.7,419915.0,3899.92
60606,"133,333","1,547",49,60,955,0,21,34,135,"3,527",66,48,0,0,494,611,560,671,272,132,259,195,63,25,27,104,0,0,2997,331,0.0,11.2,615719.95,4359.19
60607,"119,500","8,368","1,342",28,"2,525",42,471,698,"1,250","30,197","1,282",852,546,"2,395","3,645","5,088","4,838","3,150","2,442","1,598","1,223",725,982,460,232,306,20,413,15260,1786,0.5,8.2,723195.0,4284.38
60608,"66,821","11,253","3,190",380,"4,245",0,"6,305","3,708","13,019","81,459","3,407","3,571","4,241","4,073","7,666","9,305","9,187","7,080","5,819","4,296","4,846","4,737","4,026","3,903","2,343","1,335",739,885,31480,2399,0.5,4.3,423019.85,1819.23
60609,"47,209","7,323","6,123",258,"1,400",15,"5,616","2,238","11,220","64,268","3,611","4,198","5,248","5,036","4,244","5,268","4,344","4,376","5,023","4,475","4,144","3,984","2,935","2,711","2,050","1,353",611,657,25940,2967,3.2,3.4,0.0,1195.0
60610,"106,277","19,880","2,444",86,"2,237",8,224,743,"1,087","45,282","1,292","1,198",982,"1,637","4,520","9,756","6,479","2,975","1,775","1,605","1,901","2,231","2,260","1,883","1,857","1,270",759,902,29476,3854,2.5,9.2,1061214.9,4082.19
60611,"126,812","15,418",971,28,"5,558",0,312,767,"1,154","36,036","1,017",574,600,184,"3,281","6,209","4,096","2,945","2,286","1,184","1,232","2,884","2,153","2,047","2,197","1,311","1,001",835,28021,4967,3.1,7.3,545985.0,4038.22
60612,"58,858","4,433","7,541",78,603,13,730,857,"1,948","34,699","1,412","2,162","2,289","1,908","2,405","3,667","3,417","2,896","2,961","2,416","1,903","1,809","1,645","1,435","1,214",450,415,295,16475,2220,2.4,4.8,641089.5,2172.75
60613,"92,238","21,969","1,727",135,"2,006",7,848,"1,745","3,035","51,334","2,299","1,646","1,259",889,"4,358","8,746","7,451","5,802","3,292","2,797","3,037","2,277","2,239","1,793","1,512",759,503,675,31010,2573,2.8,3.7,697164.9,2182.77
60614,"135,364","28,755","1,254",15,"1,833",5,842,"1,364","2,070","70,444","3,243","2,666","2,601","4,042","7,582","12,685","8,913","4,959","3,661","3,189","3,458","3,247","3,186","2,081","1,938","1,426",826,741,37640,3572,1.9,7.2,1281824.35,2784.52
60615,"56,518","6,150","13,250",50,"1,891",0,151,998,"1,057","42,752","1,725","1,906","2,054","2,458","4,331","5,110","3,740","3,334","2,805","2,160","2,279","2,415","2,399","2,209","1,659","1,075",562,531,24950,2460,0.8,5.7,0.0,2397.59
60616,"72,326","8,492","7,286",136,"7,551",24,421,834,"1,615","54,456","2,355","1,757","2,346","2,141","3,916","5,949","5,902","4,621","3,212","3,335","3,450","3,271","3,026","2,966","2,206","1,404","1,038","1,561",26173,1429,0.4,4.7,449125.0,2591.12
60617,"51,203","6,155","17,847",288,162,20,"3,811","2,023","9,612","79,284","4,679","4,870","6,702","5,171","4,887","4,933","5,025","4,797","5,038","4,219","4,914","4,862","5,266","4,531","3,654","2,193","1,419","2,124",35403,5097,1.7,1.6,0.0,1295.0
60618,"100,976","24,784","1,212",176,"2,601",72,"4,101","4,114","11,109","91,896","6,005","4,903","5,316","4,728","4,861","8,202","10,653","9,135","8,087","6,693","5,392","5,125","3,914","2,409","2,916","1,414","1,024","1,119",40692,3632,1.1,5.7,582215.0,2132.5
60619,"42,802",292,"26,626",36,55,0,399,695,449,"59,892","3,224","2,853","3,634","3,931","3,408","4,167","3,824","3,871","3,742","2,903","3,937","4,518","4,323","3,619","2,849","2,053","1,360","1,676",33461,5358,2.1,5.6,0.0,1108.5
60620,"46,472",338,"24,724",55,215,0,377,441,444,"66,511","4,326","3,565","5,039","4,625","4,038","4,390","4,210","4,039","4,173","2,821","4,578","4,230","3,679","3,908","2,915","2,679","1,708","1,588",30537,4387,2.8,7.1,0.0,1000.0
60622,"119,134","19,089","1,358",41,"1,221",21,967,"2,391","4,668","53,696","3,034","1,742","1,520",963,"2,977","10,431","11,044","6,054","4,074","2,299","2,516","1,559","1,512","1,125","1,018",654,506,668,27204,2116,1.1,3.5,692895.0,2871.5
60623,"37,814","6,932","8,451",362,197,0,"6,752","4,270","16,990","77,061","5,003","4,960","5,674","5,953","5,058","6,645","5,064","4,913","4,984","5,217","4,284","4,531","3,998","3,034","3,669","1,943","1,025","1,106",30918,3954,1.0,5.8,371265.0,930.0
60624,"31,768",669,"11,762",0,49,0,648,230,909,"35,711","2,378","2,245","3,215","2,889","2,632","2,833","2,130","2,492","2,236","1,990","1,301","2,305","2,823","1,618",749,777,622,476,16125,2767,1.5,3.1,329279.95,852.5
60625,"83,527","19,814","1,498",234,"3,788",0,"2,469","3,431","7,471","78,467","4,377","4,245","3,883","4,813","5,431","6,423","8,226","8,866","5,920","4,872","5,195","3,942","3,363","3,364","1,965","1,381","1,105","1,096",33442,2208,1.0,5.3,609467.5,6299.9
60626,"56,145","13,517","5,251",181,"1,271",0,"1,407","1,833","3,232","50,027","2,397","2,093","1,664","3,171","4,981","4,787","4,961","4,120","3,498","3,498","2,731","3,625","2,662","1,851","1,831","1,007",582,568,26293,2833,1.6,7.2,284685.0,2050.22
60629,"53,318","12,263","7,701",573,234,54,"7,500","5,500","21,742","109,292","7,201","7,758","8,144","8,155","9,933","7,548","6,740","6,176","8,057","8,162","6,906","5,344","5,044","3,379","3,832","4,108","1,493","1,312",36227,2402,0.8,7.8,0.0,1318.75
60630,"91,135","14,944",433,79,"2,270",29,"1,874","1,711","4,919","54,242","3,321","2,915","2,492","2,698","3,028","2,867","4,349","4,469","3,867","3,840","4,001","3,154","4,083","3,858","2,379","1,225",850,846,23341,2001,1.4,6.0,507635.0,0.0
60631,"112,974","10,422",95,0,321,0,437,702,"1,378","30,308","2,114","2,270","1,649","1,397","1,282","1,194","1,638","2,856","1,520","1,759","2,579","2,251","1,868","1,739","1,274",739,677,"1,502",12685,708,0.9,7.9,0.0,1662.5
60633,"54,956","2,451","1,426",15,68,0,700,291,"1,583","12,485",556,"1,102",940,720,591,763,897,"1,051",645,570,"1,015",817,751,798,458,299,223,289,5618,667,0.9,10.7,0.0,1550.0
60634,"82,771","18,965",666,282,"1,367",0,"3,665","2,543","8,843","74,418","3,294","3,766","5,532","4,460","4,061","4,009","5,248","4,896","5,750","5,057","6,292","5,447","5,310","3,227","3,048","2,307","1,353","1,361",29208,1720,0.9,1.6,0.0,2566.5
60637,"37,247","3,306","16,953",88,962,0,503,460,613,"52,418","2,942","3,645","2,972","5,861","5,183","4,388","3,753","2,686","3,023","2,701","2,671","2,440","3,105","2,675","1,589","1,103",782,899,26647,4375,4.2,5.7,0.0,1627.29
60638,"85,374","13,906",599,283,233,21,"2,825","2,775","9,027","58,250","3,267","4,472","3,951","3,745","3,006","3,581","3,862","4,570","3,705","4,587","4,051","3,323","3,610","3,099","1,796","1,334",988,"1,303",21556,914,1.1,3.4,0.0,1250.0
60639,"54,969","8,955","4,570",276,680,5,"8,162","3,953","17,899","84,505","5,220","5,678","6,248","6,433","6,159","5,267","5,721","6,380","5,348","5,507","5,033","4,563","5,082","4,372","3,323","1,813","1,172","1,186",28784,2183,1.2,2.9,436504.9,2366.5
60640,"69,397","24,080","5,674",120,"3,728",0,985,"2,542","3,980","66,884","2,878","2,203","1,509","1,639","3,742","9,153","8,892","7,680","4,898","3,966","4,023","4,341","3,020","2,694","1,640","1,749","1,369","1,488",40378,3249,0.7,5.7,387284.9,1999.44
60641,"79,884","14,952",803,180,"1,450",0,"4,400","3,233","10,302","67,400","4,153","3,963","3,997","3,902","3,877","4,555","5,994","5,304","5,274","4,897","4,905","4,152","4,020","2,823","2,471","1,355",830,928,27222,2204,1.0,4.2,481967.3,2406.25
60642,"137,853","8,303",841,0,705,0,372,823,"1,414","21,124","1,046",329,315,384,"1,210","4,994","4,199","2,771","1,402","1,116",732,704,525,747,249,174,133,94,11786,742,1.2,4.6,873404.9,2869.56
60644,"34,177",846,"16,300",66,114,0,576,655,"1,342","48,317","3,876","3,555","3,384","2,901","2,754","2,985","3,587","2,810","3,733","2,814","3,588","1,992","3,296","2,625","1,868","1,094",829,626,20506,1949,0.0,2.0,0.0,1000.0
60645,"73,726","8,819","2,564",99,"2,205",0,"1,797","1,516","3,054","46,856","3,700","3,382","3,620","2,721","2,428","3,328","2,980","2,405","3,455","3,400","3,018","2,739","2,579","3,060","1,504","1,227",791,519,18315,1315,0.8,7.0,344100.0,1315.5
60646,"112,283","8,678",31,13,"1,331",0,298,455,"1,178","28,499","1,939","2,004","1,413","1,833",923,"1,287","1,662","1,985","2,232","1,682","1,560","1,801","2,365","1,648","1,778",980,638,769,11503,697,1.2,1.9,508655.0,0.0
60647,"97,550","25,413","2,118",212,"1,750",32,"2,292","5,807","11,800","85,589","5,304","4,039","3,209","3,103","5,560","13,206","14,129","9,924","5,781","4,586","3,542","3,551","2,975","2,456","1,552","1,084",584,"1,004",41313,3689,1.2,4.3,765422.5,2342.47
60649,"39,862",718,"22,449",0,130,27,241,511,616,"48,720","3,174","3,061","2,607","2,023","2,424","4,229","4,123","2,978","3,301","2,587","3,178","3,115","3,696","3,140","2,218","1,107",854,905,28320,4244,3.4,5.3,0.0,1177.6
60651,"48,532","4,014","11,777",193,169,0,"2,645","1,956","6,810","63,892","4,325","3,999","5,282","4,597","4,729","4,833","4,398","4,101","4,194","4,223","3,406","3,887","3,578","2,728","2,613","1,209",821,969,22638,1884,1.2,3.2,417878.8,1495.0
60653,"35,136","1,006","15,096",75,155,7,157,471,441,"34,608","2,774","1,719","2,445","2,167","2,022","2,706","2,947","2,517","1,700","1,921","2,360","1,715","1,900","1,780","1,612",845,608,870,18411,1444,1.4,5.9,0.0,1813.75
60654,"138,279","11,583",547,0,"1,369",0,308,"1,266","1,267","24,303",722,299,129,214,"2,013","6,238","4,193","2,679","1,681",906,"1,264","1,172",998,774,642,178,109,92,17147,2074,2.7,6.0,903850.0,5909.66
60655,"115,324","9,426",560,16,119,0,300,251,669,"27,794","1,702","1,846","2,332","1,902","1,375","1,115","1,645","1,656","2,163","1,845","1,975","1,997","1,971","1,555","1,219",648,400,448,11214,542,1.8,5.1,0.0,1894.5
60656,"82,992","9,561",516,0,"1,507",0,365,575,"1,481","28,726","1,844","1,626","1,510","1,223","1,046","1,887","2,777","1,643","2,539","2,178","1,640","1,697","2,352","1,942",862,673,717,570,12883,359,0.0,0.7,0.0,2570.25
60657,"105,428","31,429","1,840",48,"2,706",41,669,"1,961","3,240","71,268","3,924","2,389","1,610","1,356","7,955","15,366","9,813","7,291","4,006","2,878","3,421","2,083","2,497","2,037","1,643","1,349",784,866,41570,2876,1.3,4.4,768969.95,2229.1
60659,"64,202","6,988","1,289",148,"3,148",0,782,"1,302","2,731","42,008","3,044","2,614","3,184","3,785","2,299","2,286","2,711","3,067","2,614","2,644","2,641","2,688","2,408","2,295","1,589",681,620,838,14962,1305,0.6,6.8,439865.05,1800.0
60660,"63,596","12,066","2,995",41,"3,034",62,714,"2,090","2,745","42,750","1,502","1,420","1,110","2,831","3,505","4,673","4,477","3,773","2,809","2,816","2,317","2,480","2,657","1,999","1,514","1,540",565,762,23420,2418,1.4,9.4,359719.95,1876.41
60661,"139,748","4,447",347,0,"1,889",0,193,358,618,"11,516",469,246,50,65,684,"2,539","2,643","1,986",901,592,570,181,252,170,83,24,0,61,7836,602,2.2,6.4,457155.0,4750.57
